code,year,area1,delta01,delta05,delta06,delta07,delta08,delta15,delta20,delta21,delta22,delta26,delta30,delta32,domestic9,economics1,economics2,legis08,media5,military4,pop1,pop2
10.0,1946.0,647000.0,201.0,1381.3679470968266,1849.0222096830962,5437.0,9810.0,3059.531884875847,718.489247642512,2274.669139059638,-2344.974614783996,-235.0,453.4686208090916,890.2744008972969,250.0,34.0,37.0,2.0,0.0,76.0,11778.0,471.0
10.0,1947.0,647000.0,94.0,1185.4458051292136,1639.7657222388184,936.0,0.0,800.0,1750.0,1754.9481639805556,651.7762948616382,-36.0,476.0,270.0,0.0,35.0,38.0,2.0,0.0,75.0,11889.0,475.0
10.0,1948.0,647000.0,93.0,1148.2931121166143,1599.9509528062365,811.0,-191.0,1111.0,1489.0,1583.2907154418747,-344.23024646468184,-36.0,455.0,263.0,0.0,36.0,39.0,2.0,0.0,75.0,12000.0,480.0
10.0,1949.0,647000.0,93.0,1077.2030557350413,1457.7494988596904,63.0,-171.0,667.0,1111.0,1264.3251959103713,-3160.0846850070375,-36.0,435.0,256.0,250.0,37.0,40.0,2.0,0.0,74.0,12111.0,484.0
10.0,1950.0,647000.0,92.0,1088.5265535379212,1492.5605534153224,62.0,-174.0,625.0,1167.0,1290.171484787135,-1756.5905196948197,-37.0,417.0,250.0,0.0,38.0,41.0,2.0,0.0,73.0,12222.0,488.0
10.0,1951.0,647000.0,91.0,1011.3272315076006,1369.8771081934885,62.0,-152.0,588.0,746.0,988.8762139494099,-4700.75631918623,-37.0,400.0,244.0,0.0,39.0,42.0,2.0,5.0,72.0,12333.0,493.0
10.0,1952.0,647000.0,90.0,1016.1562360921316,1156.2362342108618,61.0,-179.0,2500.0,833.0,1410.2123116907119,-21684.625009277268,-37.0,769.0,238.0,0.0,40.0,43.0,2.0,10.0,64.0,12444.0,497.0
10.0,1953.0,647000.0,89.0,965.3306770801563,1044.018371659147,61.0,-183.0,222.0,897.0,1197.2559760776953,-20411.34191223164,-37.0,714.0,233.0,0.0,41.0,44.0,2.0,15.0,56.0,12555.0,502.0
10.0,1954.0,647000.0,88.0,828.0872723054348,834.8513671687236,40.0,-160.0,217.0,118.0,648.1024361931134,-25136.23675001025,-37.0,667.0,227.0,0.0,42.0,45.0,2.0,20.0,48.0,12666.0,506.0
10.0,1955.0,647000.0,88.0,899.0550489407825,970.3030970978482,60.0,-162.0,-213.0,581.0,905.7473306260424,-19596.630768634914,-37.0,625.0,222.0,312.0,43.0,46.0,2.0,25.0,40.0,12777.0,511.0
10.0,1956.0,647000.0,87.0,1039.7747041504422,1724.486640976928,60.0,-192.0,435.0,549.0,932.0691446061396,0.0,-25.0,588.0,217.0,0.0,44.0,47.0,2.0,30.0,33.0,12888.0,515.0
10.0,1957.0,647000.0,87.0,1030.373370927681,1671.2843652859144,40.0,-168.0,417.0,625.0,968.2565699476024,0.0,-37.0,556.0,213.0,0.0,45.0,48.0,2.0,35.0,36.0,13000.0,520.0
10.0,1958.0,647000.0,69.0,1205.5438752026714,2223.805717980068,79.0,-142.0,600.0,490.0,851.0310007104567,10000.0,-38.0,526.0,208.0,0.0,46.0,49.0,2.0,40.0,38.0,13090.0,523.0
10.0,1959.0,647000.0,85.0,1028.445373416428,1627.5101329565396,-707.0,1532.0,377.0,467.0,921.0662767561776,0.0,-38.0,500.0,204.0,0.0,47.0,50.0,2.0,45.0,41.0,13201.0,528.0
10.0,1960.0,647000.0,86.0,1061.585785632204,1521.2887477704212,-719.0,1278.0,364.0,2589.0,0.0,5000.0,-38.0,476.0,200.0,0.0,48.0,51.0,2.0,50.0,45.0,13315.0,532.0
10.0,1961.0,647000.0,86.0,1015.1848818972525,1471.093481277818,-797.0,-444.0,702.0,2199.0,0.0,3333.0,-38.0,455.0,196.0,0.0,49.0,52.0,2.0,51.0,47.0,13429.0,537.0
10.0,1962.0,647000.0,86.0,1036.1102221802907,1539.138762691565,-817.0,-488.0,492.0,2151.0,0.0,5000.0,-38.0,435.0,192.0,0.0,50.0,53.0,2.0,53.0,50.0,13545.0,541.0
10.0,1963.0,647000.0,86.0,998.5512060106652,1334.153789293049,-889.0,-489.0,469.0,1818.0,0.0,0.0,-38.0,417.0,377.0,0.0,52.0,55.0,2.0,54.0,52.0,13662.0,546.0
10.0,1964.0,647000.0,86.0,1625.9746699789407,2007.4770500901654,1006.0,1465.0,-597.0,1498.0,10000.0,1667.0,-38.0,800.0,364.0,0.0,54.0,57.0,0.0,56.0,55.0,13780.0,551.0
10.0,1965.0,647000.0,86.0,1179.9541893959672,1916.6901267374762,887.0,1256.0,159.0,1444.0,0.0,1429.0,-26.0,741.0,526.0,0.0,56.0,60.0,2.0,58.0,57.0,13899.0,555.0
10.0,1966.0,647000.0,86.0,1068.5489848264683,1833.6071368477567,2173.0,239.0,469.0,1231.0,0.0,1250.0,-39.0,690.0,333.0,0.0,59.0,62.0,2.0,60.0,57.0,14018.0,560.0
10.0,1967.0,647000.0,86.0,496.0,675.0,3813.0,-136.0,299.0,0.0,0.0,25556.0,-39.0,806.0,484.0,0.0,61.0,65.0,2.0,70.0,56.0,14139.0,565.0
10.0,1968.0,647000.0,86.0,-294.0,403.0,2717.0,-138.0,145.0,658.0,5000.0,26563.0,-39.0,597.0,308.0,0.0,64.0,67.0,2.0,66.0,60.0,14261.0,570.0
10.0,1969.0,647000.0,86.0,882.0,1648.0,35.0,1400.0,3429.0,643.0,3333.0,1966.0,-39.0,563.0,448.0,0.0,66.0,70.0,2.0,63.0,59.0,14384.0,575.0
10.0,1970.0,647000.0,86.0,1318.0,2408.0,-1128.0,386.0,2660.0,797.0,0.0,2500.0,-39.0,667.0,429.0,375.0,69.0,73.0,2.0,60.0,58.0,14508.0,580.0
10.0,1971.0,647000.0,86.0,171.0,1018.0,4708.0,1419.0,2017.0,559.0,0.0,57.0,-39.0,125.0,-137.0,0.0,68.0,72.0,2.0,57.0,56.0,14633.0,585.0
10.0,1972.0,647000.0,87.0,672.0,-1254.0,-503.0,2219.0,210.0,551.0,2500.0,227.0,-40.0,247.0,3333.0,0.0,91.0,96.0,2.0,54.0,56.0,14760.0,590.0
10.0,1973.0,647000.0,86.0,1191.0,1603.0,724.0,1622.0,205.0,522.0,2000.0,167.0,-40.0,723.0,3542.0,1875.0,124.0,130.0,0.0,51.0,57.0,14887.0,595.0
10.0,1974.0,647000.0,86.0,-871.0,-2127.0,4009.0,4563.0,268.0,267.0,0.0,437.0,-40.0,674.0,2692.0,0.0,157.0,165.0,0.0,48.0,57.0,15015.0,600.0
10.0,1975.0,647000.0,87.0,4489.0,4869.0,1953.0,1116.0,-65.0,260.0,1667.0,52.0,-27.0,632.0,2121.0,0.0,190.0,200.0,0.0,45.0,58.0,15145.0,605.0
10.0,1976.0,647000.0,86.0,1629.0,3332.0,1101.0,2516.0,-66.0,272.0,0.0,-1406.0,-40.0,594.0,1800.0,0.0,216.0,236.0,0.0,42.0,65.0,15275.0,611.0
10.0,1977.0,647000.0,86.0,1504.0,2488.0,-88.0,216.0,0.0,617.0,0.0,-606.0,-40.0,561.0,1568.0,312.0,242.0,273.0,0.0,40.0,71.0,15407.0,616.0
10.0,1978.0,647000.0,47.0,646.0,600.0,1983.0,423.0,0.0,631.0,-2857.0,-194.0,-41.0,619.0,1355.0,3375.0,268.0,310.0,0.0,46.0,71.0,15479.0,619.0
10.0,1979.0,647000.0,47.0,1162.0,1411.0,-612.0,2965.0,0.0,1188.0,4000.0,-789.0,-41.0,917.0,1290.0,6625.0,294.0,350.0,0.0,52.0,48.0,15551.0,622.0
10.0,1980.0,647000.0,170.0,3760.0,2708.0,-798.0,4372.0,-132.0,1061.0,1429.0,-1429.0,-41.0,916.0,514.0,4562.0,320.0,368.0,0.0,60.0,44.0,15816.0,632.0
10.0,1981.0,647000.0,170.0,2638.0,2113.0,5166.0,1179.0,268.0,-1212.0,1250.0,-28780.23745252301,6.8155870769824105,909.0,516.0,3750.0,291.0,387.0,0.0,64.0,26.0,16085.0,643.0
10.0,1982.0,647000.0,170.0,748.4917869226082,279.5722750498336,5169.0,28.0,261.0,-1178.0,3333.0,-47418.61420795568,-25.381583104528545,897.0,517.0,3125.0,2061.689817091781,407.0,0.0,67.0,28.0,16359.0,654.0
10.0,1983.0,647000.0,170.0,692.4772463688173,252.83163458695094,564.0,125.0,318.0,-1173.0,0.0,-49737.64021942866,-165.9576369842689,941.0,516.0,3437.0,1954.2509469040108,428.0,0.0,71.0,49.825227189870475,16637.0,665.0
10.0,1984.0,647000.0,171.0,667.3996274431747,305.8979023374424,3297.0,628.0,247.0,-1107.0,0.0,-47545.559281060814,-163.67030521357447,914.0,514.0,3125.0,1973.201206379658,450.0,0.0,76.0,50.19716014993742,16921.0,676.0
10.0,1985.0,647000.0,170.0,914.6023908373338,451.0804332001865,-2478.0,-2159.0,241.0,-1100.0,0.0,-46469.02385718584,-172.57583969221923,887.0,1000.0,3125.0,2009.335624938138,495.0,2.0,80.0,41.16832504535364,17209.0,688.0
